text,sentiment
I love this phone,positive
Worst customer support ever,negative
Package delivered today,neutral
Amazing product quality,positive
Very disappointed with service,negative
Nothing special product is okay,neutral
Best purchase ever made,positive
Terrible experience with seller,negative
Item received yesterday,neutral
Fantastic battery backup,positive
Refund process is horrible,negative
Product came in normal packaging,neutral
Excellent design and smooth usage,positive
Waste of money,negative
Order arrived on time,neutral
Great camera quality,positive
Bad delivery experience,negative
I received the order,neutral
Highly recommended product,positive
Not worth buying,negative